"","left_company","department","job_level","salary","weekly_hours","business_travel","yrs_at_company","yrs_since_promotion","previous_companies","job_satisfaction","performance_rating","marital_status","miles_from_home"
"46","Yes","Research","Manager",58286.2680417385,62,"Rarely",22,15,4,"High","Not Effective","Married",12
"47","No","IT and Analytics","Manager",55826.6587100059,51,"None",9,8,1,"High","Meets Expectations","Single",23
"48","No","IT and Analytics","Manager",62669.3287678888,51,"Rarely",1,0,3,"Medium","Minimally Effective","Married",19
"49","No","Research","Senior Manager",93953.3410774119,55,"Frequently",9,0,6,"Very High","Exceeds Expectations","Single",5
"50","No","Marketing","Director",122057.367903347,52,"Rarely",1,0,3,"Very High","Exceptional","Married",8
"51","Yes","Product Development","Manager",76106.1786102047,60,"Rarely",1,0,5,"High","Not Effective","Single",1
"52","Yes","Marketing","Associate",40426.2770057905,59,"Rarely",2,2,4,"High","Minimally Effective","Single",5
"53","No","Marketing","Senior Manager",95289.4795486907,45,"Rarely",4,1,2,"Low","Exceeds Expectations","Divorced",1
"54","No","Product Development","Vice President",173106.928163563,49,"None",4,2,2,"Low","Exceeds Expectations","Married",11
"55","No","Sales","Manager",65729.9784279311,44,"Rarely",2,0,3,"Very High","Meets Expectations","Married",23
"56","No","IT and Analytics","Manager",66474.6792682498,51,"Frequently",15,8,5,"Very High","Meets Expectations","Single",1
"57","No","Research","Senior Manager",96532.0242182591,45,"Frequently",9,1,2,"Low","Exceeds Expectations","Married",18
"58","No","IT and Analytics","Manager",78620.9937421033,44,"Rarely",2,2,3,"Low","Meets Expectations","Married",23
"59","No","Marketing","Senior Manager",92033.4895345661,48,"Rarely",7,1,3,"Very High","Exceptional","Divorced",7
"60","No","Research","Director",109844.03257518,45,"Rarely",7,0,1,"High","Exceeds Expectations","Divorced",1
"61","No","Finance and Operations","Director",125861.283770995,45,"Rarely",9,7,2,"Very High","Exceeds Expectations","Married",1
"62","No","IT and Analytics","Vice President",208804.385085215,51,"Frequently",10,9,3,"Very High","Exceeds Expectations","Single",29
"63","No","Research","Director",122721.91628515,45,"Rarely",27,13,2,"High","Exceeds Expectations","Divorced",7
"64","No","Finance and Operations","Manager",64558.4487132736,50,"Rarely",21,7,2,"Low","Minimally Effective","Single",25
"65","No","Finance and Operations","Manager",63284.741932887,54,"Rarely",17,12,2,"High","Meets Expectations","Divorced",8
"66","No","IT and Analytics","Manager",79599.7770356845,52,"Rarely",5,0,7,"High","Minimally Effective","Divorced",8
"67","No","IT and Analytics","Associate",36913.3131314144,46,"Frequently",6,0,3,"Medium","Exceptional","Single",11
"68","No","Product Development","Director",116325.339310811,51,"Rarely",1,0,2,"Low","Exceeds Expectations","Divorced",7
"69","No","IT and Analytics","Senior Manager",79184.5248017411,43,"Frequently",3,1,2,"Low","Meets Expectations","Married",1
"70","Yes","Marketing","Manager",66679.0317860795,60,"Rarely",1,0,6,"High","Minimally Effective","Married",9
"71","No","Marketing","Senior Manager",88722.1405249435,49,"Frequently",4,1,6,"High","Exceeds Expectations","Single",1
"72","No","Marketing","Vice President",179739.341938476,47,"Rarely",5,0,6,"Medium","Meets Expectations","Married",2
"73","No","Sales","Senior Manager",93138.3094515946,46,"Rarely",1,1,3,"Medium","Exceptional","Single",1
"74","No","IT and Analytics","Director",112409.365905919,50,"Rarely",10,0,3,"Medium","Exceeds Expectations","Married",1
"75","No","IT and Analytics","Director",117334.802562785,47,"Rarely",1,0,3,"Very High","Exceeds Expectations","Married",6
"76","No","IT and Analytics","Vice President",182882.153124834,48,"Rarely",11,1,3,"Very High","Exceeds Expectations","Single",8
"77","No","Sales","Vice President",192416.170312856,45,"Rarely",15,2,2,"Low","Meets Expectations","Single",1
"78","No","IT and Analytics","Senior Manager",83577.4393422975,47,"Rarely",0,0,2,"Low","Minimally Effective","Married",6
"79","No","Marketing","Senior Manager",93590.2981129588,47,"Rarely",5,0,3,"High","Exceeds Expectations","Single",7
"80","No","Research","Director",128579.576842713,44,"Rarely",4,0,2,"Medium","Exceeds Expectations","Divorced",5
"81","No","Finance and Operations","Director",110540.69084442,46,"Rarely",10,3,1,"Very High","Exceeds Expectations","Married",1
"82","No","Marketing","Senior Manager",104988.640982948,51,"Rarely",6,0,3,"High","Exceeds Expectations","Single",1
"83","No","IT and Analytics","Manager",68110.2976395743,49,"Rarely",1,1,3,"Very High","Meets Expectations","Married",1
"84","No","Research","Senior Manager",84982.2242031763,48,"None",13,1,2,"Very High","Exceeds Expectations","Divorced",6
"85","No","Research","Director",122685.67013294,42,"Rarely",5,1,3,"Medium","Exceeds Expectations","Married",1
"86","No","Research","Senior Manager",81509.2841431523,46,"Rarely",6,0,2,"Very High","Meets Expectations","Single",7
"87","No","Research","Director",128939.483594043,49,"Rarely",0,0,3,"Low","Meets Expectations","Divorced",2
"88","No","IT and Analytics","Senior Manager",78161.4034469856,49,"Rarely",4,0,4,"Very High","Exceptional","Married",9
"89","No","Research","Associate",38353.5113981925,49,"Rarely",11,10,2,"Very High","Meets Expectations","Married",2
"90","Yes","Marketing","Director",121159.144139664,59,"Rarely",9,4,5,"Very High","Meets Expectations","Single",9
"91","No","IT and Analytics","Senior Manager",83902.5249242781,46,"Frequently",22,11,1,"Medium","Exceeds Expectations","Married",1
"92","No","IT and Analytics","Senior Manager",90604.5576440219,45,"Rarely",10,1,4,"Very High","Exceptional","Single",21
"93","No","IT and Analytics","Director",115967.985206505,49,"Rarely",11,2,7,"Medium","Exceptional","Divorced",4
"94","No","IT and Analytics","Manager",73126.8931617855,45,"Frequently",10,9,3,"Low","Exceeds Expectations","Married",1
"95","No","Product Development","Associate",34865.9131643029,48,"Rarely",11,5,5,"High","Meets Expectations","Single",6
"96","No","Sales","Vice President",193684.136641139,44,"Rarely",4,0,3,"High","Exceeds Expectations","Married",2
"97","No","Research","Director",117906.670308625,43,"Rarely",3,0,1,"High","Exceeds Expectations","Married",3
"98","No","Sales","Director",116509.564213545,48,"None",5,0,1,"High","Exceeds Expectations","Married",4
"99","No","Sales","Manager",72983.545117114,46,"Rarely",37,1,1,"High","Meets Expectations","Single",10
"100","No","IT and Analytics","Director",125440.622165393,49,"None",3,1,1,"Medium","Exceeds Expectations","Married",23
"101","Yes","Finance and Operations","Manager",76027.0740518809,58,"Rarely",3,0,6,"Low","Meets Expectations","Divorced",6
"102","No","Sales","Director",123313.597021005,52,"Rarely",1,0,2,"Low","Meets Expectations","Single",1
"103","Yes","Product Development","Associate",43042.0266808303,59,"Frequently",1,1,3,"Very High","Meets Expectations","Single",6
"104","No","Finance and Operations","Senior Manager",80080.3751239624,52,"Rarely",16,2,3,"High","Meets Expectations","Single",6
"105","No","Marketing","Manager",67349.1862084078,49,"None",1,0,2,"Very High","Meets Expectations","Divorced",2
"106","No","IT and Analytics","Manager",73332.0796976732,48,"None",3,2,5,"Very High","Exceptional","Married",2
"107","No","Product Development","Director",111712.716952156,46,"Frequently",8,0,3,"Medium","Meets Expectations","Married",1
"108","Yes","Product Development","Manager",63276.1331041973,64,"Rarely",6,0,5,"High","Not Effective","Single",5
"109","No","Finance and Operations","Senior Manager",85979.511564481,47,"Rarely",2,2,3,"Very High","Exceeds Expectations","Married",7
"110","No","Research","Vice President",160239.542509921,46,"Rarely",0,0,1,"Very High","Exceeds Expectations","Single",15
"111","No","IT and Analytics","Associate",33584.9706673276,49,"Frequently",13,12,6,"Low","Meets Expectations","Single",1
"112","Yes","Sales","Manager",82915.9917717496,63,"Frequently",9,0,6,"High","Not Effective","Single",7
"113","No","Sales","Manager",63545.3693412336,50,"None",5,4,3,"Very High","Meets Expectations","Single",26
"114","No","Marketing","Senior Manager",91811.4554268233,50,"Rarely",5,1,3,"High","Meets Expectations","Married",18
"115","No","IT and Analytics","Director",115697.368044279,44,"Rarely",1,0,2,"Medium","Exceeds Expectations","Divorced",6
"116","No","Research","Senior Manager",82635.2058610579,49,"Rarely",5,1,3,"Very High","Exceptional","Single",3
"117","No","Marketing","Director",118572.737588069,49,"Rarely",11,5,4,"Low","Meets Expectations","Single",5
"118","No","IT and Analytics","Manager",76472.4060371534,51,"Frequently",9,2,3,"Very High","Exceptional","Married",11
"119","No","Product Development","Associate",38231.0679396873,50,"Rarely",1,0,5,"Very High","Meets Expectations","Divorced",3
"120","No","IT and Analytics","Associate",33540.6134592988,48,"Frequently",25,4,2,"Very High","Minimally Effective","Married",26
"121","No","Marketing","Director",126568.888417682,47,"Frequently",10,0,3,"High","Meets Expectations","Divorced",23
"122","No","IT and Analytics","Associate",35993.6486432102,50,"None",7,0,5,"Medium","Meets Expectations","Married",22
"123","Yes","IT and Analytics","Associate",45989.3520920109,58,"Rarely",5,4,4,"Medium","Minimally Effective","Married",14
"124","No","Marketing","Vice President",187709.299557123,45,"Rarely",20,15,2,"High","Exceptional","Single",6
"125","Yes","Marketing","Associate",35987.1763427577,55,"Rarely",7,7,6,"High","Exceeds Expectations","Married",6
"126","No","IT and Analytics","Director",122057.328161187,49,"Rarely",5,4,6,"Medium","Exceptional","Married",6
"127","Yes","Sales","Associate",37529.1068127888,60,"Rarely",40,15,4,"Very High","Meets Expectations","Married",23
"128","Yes","Finance and Operations","Senior Manager",85563.3613199253,64,"Rarely",0,0,6,"High","Meets Expectations","Single",22
"129","No","IT and Analytics","Senior Manager",78351.8433444223,49,"Rarely",2,2,1,"Very High","Exceptional","Married",2
"130","No","Sales","Director",122484.247702405,47,"Rarely",15,5,6,"Low","Minimally Effective","Married",20
"131","No","Marketing","Director",114721.329158632,55,"Frequently",3,1,5,"High","Meets Expectations","Single",28
"132","No","IT and Analytics","Director",117279.935203153,48,"Frequently",2,2,3,"Very High","Meets Expectations","Single",12
"133","Yes","Sales","Associate",44875.0098821635,59,"Rarely",2,2,5,"High","Meets Expectations","Married",20
"134","No","Research","Director",127220.252472752,49,"Rarely",9,0,6,"High","Meets Expectations","Divorced",9
"135","No","Sales","Senior Manager",100956.556634932,50,"Rarely",8,5,2,"High","Meets Expectations","Married",25
"136","No","IT and Analytics","Senior Manager",101692.709218602,45,"Rarely",3,0,3,"Medium","Exceeds Expectations","Divorced",6
"137","Yes","Marketing","Associate",44423.6957026239,66,"Frequently",4,0,3,"Very High","Exceeds Expectations","Single",8
"138","No","Product Development","Senior Manager",84567.9104572006,46,"Rarely",15,5,3,"High","Exceeds Expectations","Married",4
"139","No","Research","Senior Manager",92973.4247734003,51,"Rarely",2,2,6,"High","Exceeds Expectations","Married",28
"140","No","Marketing","Manager",69638.4159600934,47,"Rarely",11,4,3,"Very High","Exceeds Expectations","Married",9
"141","Yes","Sales","Senior Manager",95996.4942490175,60,"Rarely",5,0,6,"Low","Exceeds Expectations","Single",9
"142","No","IT and Analytics","Senior Manager",90698.3258086703,50,"Rarely",6,0,3,"Very High","Exceptional","Single",29
"143","No","Finance and Operations","Director",115317.867323879,47,"Rarely",3,2,3,"High","Exceeds Expectations","Single",3
"144","No","Research","Manager",64655.3843259516,44,"Rarely",5,0,5,"High","Meets Expectations","Single",18
"145","No","IT and Analytics","Senior Manager",78870.2532847604,46,"Frequently",8,0,3,"Very High","Meets Expectations","Divorced",9
"146","No","Research","Senior Manager",83462.5302184044,49,"Rarely",3,2,2,"Low","Exceptional","Divorced",5
"147","No","Research","Associate",38374.5302568328,46,"Rarely",5,1,3,"Very High","Exceeds Expectations","Single",2
"148","No","Marketing","Senior Manager",82281.7970950713,53,"Frequently",7,7,1,"Low","Exceptional","Divorced",10
"149","No","Sales","Senior Manager",70302.9026127902,47,"Rarely",5,1,2,"Low","Meets Expectations","Married",9
"150","No","IT and Analytics","Manager",71290.6154878085,44,"Rarely",1,0,2,"Medium","Meets Expectations","Single",3
"151","No","Product Development","Director",126096.918894391,43,"Frequently",20,2,3,"Medium","Exceeds Expectations","Divorced",26
"152","No","IT and Analytics","Director",117307.607010495,47,"Rarely",10,0,4,"Medium","Exceptional","Married",1
"153","No","Sales","Associate",42255.8685945676,54,"Rarely",7,4,2,"High","Exceptional","Married",6
"154","No","IT and Analytics","Vice President",168354.163174148,44,"Rarely",17,0,4,"Medium","Meets Expectations","Divorced",9
"155","No","Research","Vice President",177920.827411197,50,"Frequently",9,3,3,"Very High","Exceeds Expectations","Single",8
"156","No","Finance and Operations","Director",113820.583377682,52,"None",10,0,7,"High","Exceeds Expectations","Married",1
"157","No","Finance and Operations","Manager",60882.983658122,45,"Rarely",1,0,3,"High","Exceptional","Married",7
"158","No","IT and Analytics","Director",123535.318556799,47,"Rarely",1,0,5,"Medium","Exceeds Expectations","Married",9
"159","No","Marketing","Director",118187.671613958,54,"Rarely",12,2,6,"Very High","Minimally Effective","Married",4
"160","No","Research","Vice President",189161.500880428,45,"Frequently",4,1,5,"High","Exceeds Expectations","Married",2
"161","No","Product Development","Manager",67455.5659294566,45,"Rarely",2,2,3,"Very High","Meets Expectations","Married",19
"162","No","Sales","Senior Manager",94914.3350745858,51,"None",2,2,1,"Medium","Exceeds Expectations","Divorced",9
"163","No","Marketing","Vice President",191915.045026005,45,"Rarely",5,0,2,"Very High","Meets Expectations","Married",21
"164","No","IT and Analytics","Vice President",189356.975528986,51,"Rarely",5,1,1,"Very High","Exceeds Expectations","Divorced",24
"165","No","Marketing","Senior Manager",111266.352740129,44,"None",1,0,2,"High","Meets Expectations","Divorced",3
"166","No","IT and Analytics","Senior Manager",85945.9379375259,52,"Rarely",5,4,2,"Medium","Exceeds Expectations","Single",11
"167","No","Sales","Senior Manager",94908.5478429215,47,"Rarely",9,1,2,"High","Exceptional","Divorced",14
"168","No","IT and Analytics","Senior Manager",88508.5497868085,44,"Rarely",10,7,2,"Very High","Exceeds Expectations","Married",5
"169","No","Sales","Director",117116.101091404,50,"Rarely",8,0,2,"Very High","Exceeds Expectations","Single",1
"170","No","Sales","Vice President",172647.770498973,48,"Rarely",5,1,3,"High","Exceeds Expectations","Single",6
"171","No","IT and Analytics","Associate",42303.8370416909,52,"Rarely",5,1,3,"Medium","Exceeds Expectations","Married",17
"172","Yes","Finance and Operations","Director",130037.186234577,54,"Frequently",0,0,2,"Low","Minimally Effective","Single",1
"173","No","Product Development","Senior Manager",84186.9020193854,48,"Frequently",8,7,1,"Medium","Exceptional","Single",3
"174","No","IT and Analytics","Manager",66569.7413479145,44,"None",12,6,5,"Low","Meets Expectations","Divorced",9
"175","No","IT and Analytics","Director",122289.711028415,51,"Rarely",5,0,3,"Low","Meets Expectations","Divorced",4
"176","No","Marketing","Senior Manager",91116.2002351637,49,"Rarely",2,2,1,"Low","Exceptional","Divorced",8
"177","No","Research","Manager",67174.1793976787,50,"Rarely",3,0,2,"Very High","Exceptional","Single",2
"178","Yes","Finance and Operations","Senior Manager",92450.9979261443,60,"Rarely",1,1,6,"Very High","Meets Expectations","Single",2
"179","No","IT and Analytics","Senior Manager",91732.9409471941,49,"Rarely",24,15,2,"Low","Meets Expectations","Divorced",1
"180","No","Finance and Operations","Senior Manager",93434.8961865857,48,"Rarely",2,2,3,"Very High","Exceptional","Single",9
"181","No","IT and Analytics","Vice President",181631.683628882,44,"Rarely",4,0,5,"Very High","Exceeds Expectations","Married",12
"182","No","Marketing","Manager",73476.7168586251,47,"Rarely",3,1,2,"Medium","Meets Expectations","Single",27
"183","Yes","IT and Analytics","Manager",71713.8283736054,58,"Rarely",4,0,6,"Medium","Minimally Effective","Single",20
"184","No","IT and Analytics","Senior Manager",88191.2988426518,50,"Rarely",3,0,6,"High","Meets Expectations","Married",1
"185","No","Marketing","Senior Manager",80321.8993229678,53,"Rarely",4,1,2,"Low","Meets Expectations","Divorced",13
"186","No","Research","Manager",79326.8614523329,50,"Rarely",8,1,3,"Medium","Exceeds Expectations","Married",14
"187","No","Sales","Senior Manager",94552.495390217,49,"Rarely",20,9,2,"High","Meets Expectations","Married",4
"188","No","IT and Analytics","Senior Manager",100236.997499924,48,"Rarely",24,2,7,"Medium","Exceeds Expectations","Single",14
"189","No","Sales","Senior Manager",85085.6075120855,50,"Frequently",10,1,4,"High","Exceptional","Married",2
"190","No","IT and Analytics","Senior Manager",89019.295242411,47,"Rarely",7,1,3,"Medium","Exceptional","Single",3
"191","No","Product Development","Senior Manager",101306.742327778,54,"Rarely",33,11,2,"High","Exceeds Expectations","Married",1
"192","No","IT and Analytics","Associate",39749.6645735251,49,"Rarely",7,0,3,"Medium","Exceeds Expectations","Single",9
"193","Yes","Product Development","Associate",36059.9893154594,58,"Rarely",1,0,5,"High","Minimally Effective","Married",23
"194","No","Product Development","Director",121131.977036203,45,"None",5,2,2,"Very High","Minimally Effective","Divorced",7
"195","No","Product Development","Vice President",187280.61033188,51,"None",20,11,3,"Very High","Meets Expectations","Married",2
"196","No","IT and Analytics","Manager",69775.4779633937,53,"Rarely",8,1,3,"Low","Exceeds Expectations","Married",21
"197","No","Research","Senior Manager",90966.4793086298,48,"Frequently",6,1,2,"Medium","Meets Expectations","Single",2
"198","No","Marketing","Senior Manager",107724.986529489,49,"None",5,0,2,"High","Exceptional","Divorced",21
"199","No","IT and Analytics","Senior Manager",86713.0912032136,46,"Rarely",1,0,5,"High","Exceptional","Married",2
"200","No","Finance and Operations","Director",117643.543626275,54,"Rarely",7,1,3,"Very High","Exceeds Expectations","Married",29
"201","No","Research","Senior Manager",92031.7049530565,52,"Frequently",2,2,3,"Low","Exceptional","Married",1
"202","No","Sales","Manager",66245.8693278431,51,"None",7,1,1,"Very High","Meets Expectations","Divorced",18
"203","No","IT and Analytics","Associate",46043.5773642945,54,"Frequently",5,2,1,"High","Exceptional","Divorced",10
"204","No","Research","Director",116307.652998372,50,"Rarely",7,3,3,"Very High","Meets Expectations","Married",19
"205","Yes","Product Development","Director",112853.50351403,54,"Rarely",1,0,6,"Low","Minimally Effective","Married",29
"206","Yes","Finance and Operations","Associate",41923.2036618359,57,"Rarely",10,1,5,"Very High","Minimally Effective","Married",27
"207","No","Marketing","Vice President",173760.968944019,49,"Rarely",4,2,3,"Medium","Meets Expectations","Divorced",5
"208","No","IT and Analytics","Senior Manager",91566.6210507227,48,"Frequently",8,1,2,"Very High","Exceeds Expectations","Single",18
"209","No","Product Development","Senior Manager",97111.3658967457,51,"None",3,0,3,"Very High","Exceptional","Married",9
"210","No","Research","Vice President",193377.068856077,50,"Rarely",4,0,3,"Low","Meets Expectations","Divorced",1
"211","Yes","Product Development","Manager",64791.1456741455,53,"Rarely",14,9,5,"Very High","Meets Expectations","Married",4
"212","No","Marketing","Manager",79386.6576590245,47,"None",11,5,3,"High","Meets Expectations","Single",1
"213","No","IT and Analytics","Associate",38679.6947390994,52,"Frequently",7,0,2,"High","Exceeds Expectations","Single",20
"214","No","Marketing","Director",128020.67098849,47,"Rarely",10,4,4,"Medium","Exceeds Expectations","Married",8
"215","Yes","IT and Analytics","Manager",68147.5952803723,54,"Rarely",5,0,2,"Low","Meets Expectations","Single",3
"216","No","Finance and Operations","Senior Manager",90960.6004070637,48,"Rarely",1,0,2,"Very High","Meets Expectations","Single",6
"217","Yes","Sales","Manager",64525.0650765456,59,"Frequently",6,0,4,"Low","Meets Expectations","Single",26
"218","Yes","Marketing","Manager",72494.6741699331,62,"Rarely",6,1,6,"High","Meets Expectations","Single",1
"219","No","Product Development","Director",116711.74517491,49,"None",19,12,3,"Very High","Exceeds Expectations","Single",6
"220","No","Marketing","Senior Manager",101261.856072523,50,"Rarely",6,0,2,"Low","Meets Expectations","Married",3
"221","No","Marketing","Senior Manager",86023.8000642851,47,"Rarely",13,3,3,"Medium","Meets Expectations","Single",5
"222","No","IT and Analytics","Director",132343.651307936,49,"Rarely",3,1,3,"Medium","Meets Expectations","Married",4
"223","No","Product Development","Senior Manager",94035.8160965201,52,"Frequently",10,0,3,"Very High","Meets Expectations","Divorced",11
"224","No","Research","Manager",67614.6441242909,46,"Rarely",16,5,2,"High","Meets Expectations","Divorced",3
"225","No","Marketing","Vice President",203186.075419131,43,"None",5,1,2,"High","Exceeds Expectations","Married",1
"226","No","Sales","Vice President",182421.875409821,51,"Rarely",1,0,3,"Very High","Exceptional","Married",3
"227","No","Research","Associate",37432.1881130052,53,"Frequently",9,5,3,"Very High","Meets Expectations","Divorced",4
"228","No","IT and Analytics","Manager",70241.338760463,49,"Frequently",11,4,1,"Very High","Meets Expectations","Married",1
"229","No","Product Development","Manager",78841.0251962307,47,"Frequently",10,0,1,"High","Meets Expectations","Single",1
"230","Yes","Sales","Manager",70500.9198575837,60,"Rarely",4,0,5,"Very High","Minimally Effective","Single",18
"231","No","IT and Analytics","Manager",74103.2048809997,53,"Rarely",2,2,2,"Very High","Exceeds Expectations","Single",2
"232","No","Research","Director",120599.865944527,48,"Rarely",22,11,2,"Very High","Exceptional","Married",4
"233","No","Sales","Vice President",178303.595903525,48,"Rarely",2,2,2,"High","Exceeds Expectations","Married",6
"234","No","Research","Senior Manager",99815.5434322327,48,"Rarely",7,0,1,"Very High","Meets Expectations","Divorced",1
"235","Yes","Research","Associate",37146.9485332124,57,"Rarely",5,0,5,"Very High","Minimally Effective","Married",14
"236","No","IT and Analytics","Senior Manager",91196.1633051333,49,"Rarely",17,1,3,"Very High","Exceptional","Married",16
"237","Yes","Marketing","Manager",66368.3664932445,58,"Rarely",9,1,4,"Low","Exceeds Expectations","Married",2
"238","No","Marketing","Vice President",167817.855954283,42,"None",33,15,1,"High","Exceptional","Single",2
"239","No","IT and Analytics","Vice President",171140.406978372,49,"Rarely",4,1,2,"Medium","Exceeds Expectations","Married",4
"240","Yes","Product Development","Associate",42009.7183926832,56,"Rarely",3,1,6,"High","Minimally Effective","Single",1
"241","No","Finance and Operations","Senior Manager",104562.019546994,47,"Rarely",3,1,3,"High","Exceeds Expectations","Divorced",1
"242","No","Product Development","Director",124162.055139023,47,"None",3,2,4,"Very High","Exceeds Expectations","Married",26
"243","No","Sales","Associate",43891.0834896233,45,"Rarely",1,0,1,"Low","Exceeds Expectations","Divorced",19
"244","No","Research","Director",119365.109147273,51,"Rarely",9,4,7,"Very High","Meets Expectations","Divorced",24
"245","No","Product Development","Senior Manager",85977.8507295676,57,"Rarely",24,1,3,"Very High","Minimally Effective","Married",1
"246","No","IT and Analytics","Manager",69208.8370997911,45,"Frequently",2,2,3,"High","Exceeds Expectations","Divorced",3
"247","No","Sales","Senior Manager",90036.1893302591,49,"Rarely",2,0,4,"Very High","Exceeds Expectations","Married",5
"248","No","Finance and Operations","Senior Manager",96432.6064840862,47,"Rarely",11,5,3,"Low","Minimally Effective","Married",2
"249","No","Marketing","Director",127208.805679694,46,"Rarely",3,0,3,"Low","Meets Expectations","Married",1
"250","No","Sales","Manager",64048.2814420435,51,"Frequently",3,0,3,"High","Meets Expectations","Married",7
"251","Yes","Sales","Director",138604.54517199,62,"Frequently",1,0,6,"High","Meets Expectations","Divorced",10
"252","No","IT and Analytics","Senior Manager",86775.966284328,48,"Frequently",19,11,3,"High","Meets Expectations","Single",2
